STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,WT09,WT01,WT06,WT02,WT11,WT04,WT08,WT03
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160616,-9999,-9999,0.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160617,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160618,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160619,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160620,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160621,-9999,-9999,0.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160622,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160623,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160624,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160625,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160626,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160627,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160628,-9999,-9999,0.29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160629,-9999,-9999,0.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20160630,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160601,-9999,-9999,0.00,0.0,0.0,-9999,82,64,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160602,-9999,-9999,0.00,0.0,0.0,-9999,86,59,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160603,-9999,-9999,0.07,0.0,0.0,-9999,82,62,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160604,-9999,-9999,0.12,0.0,0.0,-9999,68,62,66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160605,-9999,-9999,0.08,0.0,0.0,-9999,83,63,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160606,-9999,-9999,0.76,0.0,0.0,-9999,69,62,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160607,-9999,-9999,0.00,0.0,0.0,-9999,84,63,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160608,-9999,-9999,0.13,0.0,0.0,-9999,84,58,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160609,-9999,-9999,0.33,0.0,0.0,-9999,68,51,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00280907,BOONTON 1 SE NJ US,20160610,-9999,-9999,0.00,0.0,0.0,-9999,72,52,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
